Latitude,Longitude,What3Words,Map,Description
53.9167108,-1.06012753,foil.descended.stable,VR-03,Farm off A19
53.9180346,-1.05833045,spell.crops.firmly,VR-03,Group of buildings by the A19
53.91763492,-1.04345752,coach.undulation.successes,VR-03,Hamlet/Farm at the end of Forest Lane
53.91470294,-1.05332001,cracks.rehearsal.melts,VR-03,House/Business on A19
53.91341379,-1.05109914,calibrate.polygraph.letters,VR-03,House on A19
53.90761539,-1.03278235,uncouth.heavy.restless,VR-03,Hamlet off Wheldrake Lane
53.90435246,-1.04975272,pollution.eventful.astounded,VR-03,Group of houses close together both sides of A19
53.89904431,-1.05255293,error.haggling.once,VR-03,Group of houses down track off A19
53.89862392,-1.04676472,monorail.confetti.ponies,VR-03,Group of houses down track off A19
53.89586286,-1.04790196,shops.shatters.sooner,VR-03,Farm next to A19
53.89690433,-1.03930812,stamp.steers.airstrip,VR-03,Hamlet of houses down track off A19
53.89172173,-1.04623365,such.dabbling.lyricist,VR-03,House next to Deighton on A19
53.8899482,-1.04357289,cement.dollar.electrode,VR-03,Farm opposite Deighton
53.88674237,-1.05781007,reflector.communal.starring,VR-03,Farm/Group of Houses off Naburn Lane
53.88821885,-1.04643213,townhouse.stammer.tenders,VR-03,House next to A19
53.88670758,-1.04844922,perform.newlyweds.slicing,VR-03,3 Houses close together on Naburn Lane
53.88792798,-1.05175363,distracts.voucher.person,VR-03,Farm off Naburn Lane
53.9672074,-0.9919403,wakes.whirlpool.eruptions,VR-05,6 Houses in a row on A166
53.96821561,-0.9903256,gracing.variances.develop,VR-05,2 houses together on A166
53.96835287,-0.99140921,exits.registry.brotherly,VR-05,House/Business on A166
53.96910388,-0.98730006,tasteful.mocking.aviators,VR-05,Houses/Businesses at T-Junction
53.97252583,-0.97800352,disco.hails.removing,VR-06,House/Business on A166
53.97302435,-0.97553053,crafts.monorail.sponge,VR-06,House on A166
53.97167392,-0.9729556,excavated.realm.moguls,VR-06,2 Houses set back from Eastfield Lane
53.96949356,-0.97545541,sharpness.noise.lasted,VR-06,House on Eastfield Lane
53.96598616,-0.96810076,jump.detained.unwraps,VR-07,4 Houses on Intake Lane
53.96641691,-0.96418474,delusions.prop.hikes,VR-07,Hamlet on Intake Lane
53.96853115,-0.96069787,snowstorm.freely.warrior,VR-07,House on Intake Lane
53.96932002,-0.95865939,hails.longer.resources,VR-07,About 4 houses near Intake Lane
53.95624654,-1.00989232,dunes.since.score,VR-08,A few houses at Grimston Bar
53.95485612,-1.00681316,agent.towers.closet,VR-08,Hamlet of about 10 houses and a farm on Elvington Lane B1228
53.9570972,-1.00414168,cubs.allows.clock,VR-08,Several houses in a row south side of Hull Road A1079
53.9580441,-1.00483904,tender.fakes.chin,VR-08,Bore Tree Baulk - all houses on and off this road
53.96144331,-1.00008616,ships.budget.drives,VR-08,House on A166
53.9625984,-0.99877724,impulses.trainer.employers,VR-08,House on A166
53.96129808,-0.99279851,outlooks.candidate.logged,VR-08,House on York Road heading to Dunnington
53.96052326,-0.99514007,soonest.kebab.conga,VR-08,House on York Road heading to Dunnington
53.9596064,-0.99704713,printer.rekindle.farms,VR-08,Farm on York Road heading to Dunnington
53.95893729,-1.00021214,tops.horns.with,VR-08,House set back from York Road heading to Dunnington
53.95554262,-0.98463923,crackling.triangle.lecturing,VR-08,House set back from Hull Road A1079
53.95478258,-0.97399468,galloping.later.helpfully,VR-08,2 houses south side of Hull Road A1079
53.95435328,-0.97157801,repeat.corporate.framework,VR-08,Farm on A1079 near crossroads
53.95984464,-0.97551163,spurted.cornering.commutes,VR-08,House on Hassacarr Lane
53.95692151,-0.97296515,hamsters.whimpered.energetic,VR-08,House on Common Road in Dunnington Business Park
53.95990578,-0.97412119,encrusted.showering.doll,VR-08,House on Common Road
53.96147483,-0.97054155,whoever.unimpeded.backed,VR-08,House down driveway off Common Road
53.957023,-0.96823754,dormant.mixer.mainframe,VR-08,House/Caravan Park on Hagg Lane
53.95868636,-0.96374218,tonsils.result.clipboard,VR-08,3 or 4 houses close to each other on Hagg Lane
53.95495078,-0.95992807,scale.echo.crumples,VR-08,Farm/Hamlet set back from A1079
53.94618168,-0.96552426,replace.nail.grunt,VR-08,Farm at end of Kexby Stray
53.94829377,-0.97345557,investor.shaver.squabbles,VR-08,House/Farm on Common Lane
53.94926613,-0.97343947,nutty.scans.uppermost,VR-08,House on Common Lane
53.9497523,-0.97331609,lectured.willing.ruins,VR-08,House on Common Lane
53.95023847,-0.97286548,verve.readings.replenish,VR-08,Farm on Common Lane
53.95179006,-0.97142245,coil.loosed.swift,VR-08,House set back from Common Lane
53.95226674,-0.97251947,stressed.unpainted.cloth,VR-08,Farm on Common Lane
53.95321058,-0.972152,supposes.tablets.traders,VR-08,About 3 houses close together both sides of road on Common Lane
53.94885257,-0.96638527,strutted.negotiators.shop,VR-08,Farm set back from Common Lane
53.95329828,-0.95834288,highs.loudness.coining,VR-08,House set back from A1079 on Scoreby Lane
53.95296162,-0.95857775,procures.plotter.consumed,VR-08,About 5 houses close together south side of A1079 some set back
53.95323309,-0.96068059,rotations.short.private,VR-08,House on A1079
53.95453681,-0.96893642,unites.waggled.fittingly,VR-08,Farm on A1079
53.95341305,-0.96865748,enjoyable.gradually.tigers,VR-08,2 houses set back from A1079
53.95377811,-0.96705732,mocked.grinning.conducted,VR-08,House set back from A1079
53.95364035,-0.96636417,pilots.dwarves.fidgeted,VR-08,House set back from A1079
53.95423535,-0.96644998,unleashed.apprehend.charts,VR-08,About 5 houses close together north side of A1079
53.97574391,-0.98848542,kindness.love.committee,VR-09,House at the end of Farfield Lane
53.98533389,-0.97254769,doctor.shook.damp,VR-09,Farm between Holtby and Warthill
53.99026998,-0.96206027,flow.skillet.resemble,VR-09,Farm between Warthill and Gate Helmsley
53.99638487,-0.95257599,sobs.anode.emotional,VR-09,Farm off Northgate Lane
53.99353095,-0.94376223,coached.warns.rotations,VR-09,House near Gate Helmsley
53.9964574,-0.94131606,shutting.yachting.sweeping,VR-09,House between Gate Helmsley and Upper Helmsley
53.98298719,-0.95795131,zones.dentures.additives,VR-09,House on A166
53.98502015,-0.95663167,pesky.framework.playoffs,VR-09,House on A166
53.98463376,-0.95335936,corrosive.guessing.machine,VR-09,Farm off A166
53.98655939,-0.95332719,reckon.needed.aliens,VR-09,Group of houses close together just before Gate Helmsley
53.99059336,-0.93507214,hunk.milky.gifted,VR-09,2 Houses and a farm just east of Balloon Tree (same side of road)
53.99019282,-0.93490577,erupted.jazz.delusions,VR-09,House on Scoreby Lane
53.98930973,-0.93527592,reliving.zealous.else,VR-09,House on Scoreby Lane
53.98745201,-0.93770063,tinned.noun.relate,VR-09,House on Scoreby Lane
53.98376945,-0.94145303,potions.labels.signature,VR-09,House on Scoreby Lane
53.98198403,-0.93748872,blotting.defends.nicely,VR-09,Hamlet of about 12 houses (1 down a track to farm buildings) Scoreby
53.97251952,-0.94488357,snapped.forklift.increased,VR-09,Hamlet/Farm
53.96726576,-0.93635684,slot.threaten.costly,VR-09,Farm on Scoreby Lane
53.9393183,-1.0381736,tone.smashes.eagles,VR-10,House on Common Lane
53.93830466,-1.02795975,crisis.lion.factories,VR-10,Farm on Common Lane
53.93567098,-1.02381843,nerve.ledge.spike,VR-10,1 Farm and 1 or 2 Houses on Long Lane by A64
53.93283502,-1.01874379,shirt.wisdom.crew,VR-10,Holme Hill Lane contains about 4 properties
53.92457689,-1.02140173,direct.nest.nails,VR-10,Farm down track off Long Lane
53.91683557,-1.01699487,birds.joke.corn,VR-10,Hamlet at the end of Langwith Stray
53.92390577,-1.01024645,they.rooms.tigers,VR-10,House on Langwith Stray
53.92260745,-1.00349265,gear.glow.stir,VR-10,Farm on Langwith Stray
53.93136639,-1.00858348,buck.shin.needed,VR-10,Farm down track off Long Lane
53.92919657,-0.99810677,winter.tinny.rated,VR-10,Farm on Langwith Stray
53.94120341,-1.01746695,many.plant.filer,VR-10,2 Houses on Ox Clay Lane
53.94149238,-1.0117966,shape.stews.good,VR-10,Farm on Ox Clay Lane
53.94259587,-0.99968381,community.noble.gossip,VR-10,Farm off B1228
53.94411681,-0.9983223,putty.flashback.bowls,VR-10,House off B1228
53.94787395,-0.99631603,suitable.moth.narrating,VR-10,House on Elvington Lane (B1228)
53.94617535,-0.99441429,recur.brambles.delivers,VR-10,House on Elvington Lane (B1228)
53.94396527,-0.99138876,jumpy.irrigated.fluffed,VR-10,House on Elvington Lane (B1228)
53.94603328,-0.980955000,forehand.into.because,VR-10,Hamleton down Priest Lane (At least 2 houses)
53.94014712,-0.98941567,procures.rely.profiled,VR-10,House down a track off Elvington Lane (B1228)
53.93976567,-0.985844600,sector.quack.goodnight,VR-10,Hamlet/Business on Elvington Lane (B1228)
53.935550020,-0.987526400,chugging.nerves.forwarded,VR-10,Hamleton down a track off Elvington Lane (B1228)
53.935921100,-0.980713590,clocked.awesome.quits,VR-10,Hamleton down a track off Elvington Lane (B1228)
53.93242187,-0.977977730,riverbed.tags.division,VR-10,House/Farm off B1228
53.934623110,-0.974667890,silk.warthog.firms,VR-10,House off Elvington Lane (B1228)
53.93660164,-0.96682245,witless.fleet.shapes,VR-10,Farm down track off Elvington Lane (B1228)
53.93355096,-0.96610629,removals.grab.dugouts,VR-10,Farm down track off Elvington Lane (B1228)
53.93352253,-0.96119249,dentures.guarded.strategy,VR-10,Farm down track off Elvington Lane (B1228)
53.93074324,-0.96756811,origin.taped.sidelined,VR-10,At least 3 houses together on Elvington Lane (B1228)
53.9293567,-0.96498245,mice.horseshoe.afraid,VR-10,At least 2 houses together on Elvington Lane (B1228)
53.92701621,-0.96179597,prospered.repeating.spellings,VR-10,House off Elvington Lane (B1228)
53.92626128,-0.96090547,words.rebel.manicured,VR-10,Traveler Site off Elvington Lane (B1228)
53.92551892,-0.95791225,giggles.elite.amps,VR-10,2 Houses off Elvington Lane (B1228)
53.92531845,-0.96156671,fears.rapid.mallets,VR-10,Group of several houses down track off Elvington Lane (B1228)
53.92632761,-0.95794969,target.abstracts.dogs,VR-10,House off Elvington Lane (B1228)
53.92679508,-0.94148627,sonic.daydreams.buckets,VR-10,House on Dauby Lane
53.92800644,-0.94119658,presenter.unrated.blanks,VR-10,House on Dauby Lane
53.92364427,-0.95459286,vocal.marathons.tone,VR-10,1 House on Wheldrake Lane
53.9229612,-0.95381076,brass.allies.winters,VR-10,1 House on Wheldrake Lane
53.922308,-0.95533585,crusaders.presumes.spends,VR-10,2 or 3 houses together on Wheldrake Lane
53.92087376,-0.95572209,being.confetti.start,VR-10,2 houses together on Wheldrake Lane
53.91802255,-0.96818096,contained.libraries.magazines,VR-10,Farm down a track off Wheldrake Lane
53.91696259,-0.96409868,lecturing.cape.invoices,VR-10,2 Houses and a farm down a road off Wheldrake Lane
53.91381884,-0.9595872,neutron.tweezers.giant,VR-10,House(s) together near Lake on Wheldrake Lane
53.9080891,-0.9015871,merit.bland.hound,VR-12,Farm
53.89656589,-0.92949281,koala.paces.repeats,VR-12,Hamlet
53.89112711,-0.91399233,treatment.grins.spurned,VR-12,House near Storwood
53.89351702,-0.90802711,tickets.tangible.tailwind,VR-12,House on Gatehead Lane
53.89708586,-0.90871643,blueberry.incoming.mankind,VR-12,Group of houses on Hagg Lane
53.90394291,-0.92406403,searcher.candy.robots,VR-12,Farm near Sutton on Derwent
53.89539227,-0.99125342,watch.nuggets.extent,VR-13,Group of farms down Benjy Lane (About 4 properties)
53.8989215,-0.98534984,ringers.flooding.habits,VR-13,House/Farm off Wheldrake Lane
53.90121306,-1.0039107,underway.parkland.laminated,VR-13,House/Farm off Wheldrake Lane
53.90112772,-1.01359348,situation.combos.repaying,VR-13,Hamlet/Farm off Wheldrake Lane
53.90712556,-1.01806775,bumping.intricate.scream,VR-13,Farm on Wheldrake Lane
53.90809572,-1.02581934,supreme.create.goose,VR-13,2 Houses on Wheldrake Lane
53.90952722,-1.02567986,tens.condensed.fuel,VR-13,Farm/Park off Wheldrake Lane
53.9117486,-1.01116374,half.laminate.attitudes,VR-13,Link Hall Farm off Wheldrake Lane
53.90524891,-0.99208756,month.shuffles.fuzz,VR-13,Farm off Wheldrake Lane
53.90758905,-1.00135993,trimmer.renovated.sprinter,VR-13,Farm/Golf Course off Wheldrake Lane
53.90184997,-0.97021678,styled.refills.knitted,VR-13,4 Houses close together on Broad Highway
53.90676434,-0.97480873,rating.irrigate.sorry,VR-13,2 Houses together on Broad Highway
53.90845184,-0.9771208,stones.scaffold.mush,VR-13,Hamlet at Haggwood Walk on Broad Highway
53.91221531,-0.97137014,mandolin.soulful.palm,VR-13,Farm off Broad Highway
53.91200991,-0.98217408,waltzes.proved.amber,VR-13,Farm on Broad Highway
53.91411112,-0.98502258,sigh.inflating.throwaway,VR-13,House off Broad Highway
53.91892925,-0.99015632,bullion.betrayal.estate,VR-13,Farm on Broad Highway near Elvington Airfield
53.91716636,-0.99970499,songbook.appear.appoints,VR-13,Farm at the end of Broad Highway
53.88231946,-0.94826828,steadily.jumps.barbarian,VR-14,Farm and 2 Houses south of Wheldrake (and Thicket Priory)
53.89166062,-0.98007124,save.dares.rises,VR-14,2 Houses on Wheldrake Lane near Industrial Estate
53.88856242,-0.99041383,encoding.sourcing.pythons,VR-14,Farm off Wheldrake Lane
53.88659904,-0.98961453,erase.forklift.uptake,VR-14,Farm off Wheldrake Lane
53.88373444,-0.9974305,brittle.remission.decorator,VR-14,3 Houses and a farm (2 entrances) on Wheldrake Lane
53.90311493,-0.95040868,pacifist.lobster.track,VR-15,Hamlet down a track off Church Lane
53.90430007,-0.94678765,rips.eclipses.evidently,VR-15,Possible farm off Wheldrake Lane
53.90575066,-0.9599895,pump.submerge.slacker,VR-15,Farm on Greengales Lane
53.91070806,-0.9606869,reset.inquest.professed,VR-15,Farm off Wheldrake Lane
53.91222004,-0.95350932,food.straddled.pulse,VR-15,Farm off Wheldrake Lane
53.96391438,-0.94724659,tester.fenced.overdrive,VR-16,Farm
53.95879526,-0.94400648,hypocrite.overjoyed.shins,VR-16,Farm
53.95431066,-0.9433853,prongs.nosedive.hitters,VR-16,Farm
53.95126762,-0.94845466,from.necks.reclining,VR-16,Hamlet
53.94904831,-0.94172232,hawks.plausible.conquests,VR-16,Hamlet/Farm on Dauby Lane
53.94598907,-0.94326729,tropic.stirs.town,VR-16,Farm on Dauby Lane
53.94376793,-0.94577378,pill.text.perfumed,VR-16,House down track off Dauby Lane
53.9387774,-0.95146412,campsites.dabbled.safest,VR-16,Group of houses off Dauby Lane
53.93506526,-0.93460907,popular.ombudsman.tungsten,VR-16,2 Houses on a Farm off Dauby Lane
53.93179024,-0.94295073,eggs.graver.magazines,VR-16,Farm on Dauby Lane
53.95154462,-0.92592939,fattest.mass.node,VR-17,House next to River Derwent
53.95304392,-0.92146093,icebergs.reveal.cluttered,VR-17,Buildings both side of A1079 here
53.94951933,-0.92023245,ankle.stewing.intestine,VR-17,Farm off A1079
53.95321454,-0.91759846,creatures.blush.young,VR-17,Houses at Long Lane junction with A1079
53.95050114,-0.90946605,playful.lend.roadshow,VR-17,Hamlet off South side of A1079
53.95120999,-0.90854854,bulldozer.stumble.dignity,VR-17,Farm off North side of A1079
53.94858016,-0.90182442,comical.clays.animates,VR-17,House/Farm off A1079
53.95881566,-0.91714781,nuns.corner.fishnet,VR-17,Farm on Long Lane
53.96813658,-0.92455875,intruders.applauded.dust,VR-17,Hamlet of at least 7 houses on Broad Lane before Low Catton village
53.96423932,-0.90586374,lamplight.emptied.edgy,VR-17,A group of 5 houses and a farm on Smeaton road
53.96751812,-0.90800414,valued.divisible.years,VR-17,Couple of houses next to each other on High Catton road
53.9732994,-0.89896238,mush.insurance.preparing,VR-17,At least 3 houses/farms down Common Lane (follow to end)
53.97907936,-0.91141321,ever.autumn.parts,VR-17,House on High Catton road
53.9784515,-0.89714385,firepower.fluffed.bandage,VR-17,2 Hamlets and a house on Howl Gate (follow to end of road from High Catton)
53.97877333,-0.88226301,tops.butchers.backyards,VR-17,Hamlet off Moor Road
53.98154941,-0.89150054,action.bounding.steaming,VR-17,"Large Hamlet, a group of at least 15 houses (Moor Road and Moor Lane)"
53.94179517,-0.90004344,barefoot.bookcases.shrimps,VR-18,Hamlet down Back O'Newton
53.9394561,-0.90096077,chatted.consoles.splashes,VR-18,Group of 3 houses down Back O'Newton
53.93318124,-0.90222408,flaunting.strumming.waiters,VR-18,Group of 2 houses down Back O'Newton
53.9309136,-0.90284099,charm.doted.caused,VR-18,1 House down Back O'Newton
53.93337313,-0.9199535,steepest.fats.sometimes,VR-18,Farm with about 3 houses off High Lane
53.92826206,-0.89558292,ecologist.dash.blemishes,VR-18,Possible house at this caravan park
53.92381932,-0.90669529,jokes.crusaders.frail,VR-18,Hamlet of 2 farms or about 3 houses on High Lane
53.93041458,-0.87912219,royal.trappings.saints,VR-18,House(s) down a long driveway
53.9378409,-0.89208801,friday.workbench.spot,VR-18,Farm on Carr lane
53.93995107,-0.88716883,mealtime.tasks.professes,VR-18,Farm off Carr lane
53.93846062,-0.88459122,cursing.zipped.burden,VR-18,Farm on Carr lane
53.94248036,-0.88623541,narrates.slices.reserve,VR-18,Farm off Carr lane
53.93766483,-0.87875748,warthog.tokens.motoring,VR-18,Farm on Carr lane
53.93775645,-0.86745189,wimp.lads.avoid,VR-18,Farm on Carr lane
53.94053525,-0.86456851,beats.snippets.spit,VR-18,Hamlet just off A1079
53.94398008,-0.87818876,scream.slave.react,VR-18,Hamlet of 2 houses off A1079
53.94532353,-0.88128403,snares.kitten.degrading,VR-18,Farm off A1079
53.94617915,-0.88505253,hippy.facelift.spurned,VR-18,Hamlet of houses opposite Wilberfoss south side of A1079
53.94670011,-0.8896418,paraded.horses.diverged,VR-18,Farm off A1079 opposite Wilberfoss
53.95299672,-0.89753013,thousands.lawful.ledge,VR-19,Farm on Mill Lane
53.9547297,-0.89888733,reporting.flexed.deck,VR-19,House/Farm at the end of Mill Lane
53.95319241,-0.88566938,sunbeam.swan.forgiving,VR-20,At least 5 houses close together (Storking Lane/Ling Lane)
53.95674668,-0.88371672,slice.highlight.patrolled,VR-20,House set back from Ling Lane
53.96068883,-0.88644722,mysteries.solutions.doors,VR-20,Farm set back from Ling Lane
53.95147668,-0.87352708,tapes.boomers.tomato,VR-22,Hamlet on Birker Lane
53.98555541,-0.85604177,deleting.hesitate.flips,VR-23,Group of houses on Hatkill lane
53.9821108,-0.85273469,eyeliner.massaging.blankets,VR-23,Group of houses up a driveway off Hatkill lane
53.98147839,-0.84967958,decking.grape.denote,VR-23,Farm off Hatkill lane
53.97920076,-0.8477457,prickly.absorbing.intrigued,VR-23,House on Gowthorpe lane
53.97374591,-0.86990343,geology.powers.converter,VR-23,Farm
53.97996427,-0.84398661,outright.running.croutons,VR-23,Group of houses on Gowthorpe Lane
53.97498901,-0.84386456,arena.think.innovator,VR-23,Farm on Highfield Lane (both sides of road)
53.96908163,-0.84122518,capacity.paler.hologram,VR-23,House on Station road just west of Fangfoss
53.96866827,-0.8468149,blazing.dragon.scooters,VR-23,Farm on Station Road
53.96409885,-0.85243146,shallower.hazy.purified,VR-23,Farm off Station road
53.96525386,-0.8623127,cropping.pool.barmaid,VR-23,"2 Houses at T Junction of Ling Lane, Newbridge Lane and Station  Road"
53.96478365,-0.86608388,valley.dolls.vitals,VR-23,Farm on Ling Lane
53.96507558,-0.87844888,spits.exotic.working,VR-23,Hamlet of about 4 houses up a driveway off Ling Lane
53.96069829,-0.87535896,treatment.computers.hinders,VR-23,Farm on Ling Lane
53.93429532,-0.72611022,vandalism.hurtles.applauded,VR-24,3 or 4 houses and a farm down a track on edge of territory off B1246
53.93385,-0.73902237,trash.ogre.engraving,VR-24,House on corner of Featherbed Lane
53.93718644,-0.74093742,holds.threaten.anguished,VR-24,Estate set back from B1246
53.93858217,-0.74376981,dollar.barmaid.custodial,VR-24,Estate near Kilnwick Percy
53.94120305,-0.74453693,energetic.ounce.between,VR-24,Estate near Kilnwick Percy with several properties close together
53.94287654,-0.73477369,notch.typhoon.files,VR-24,Farm on edge of territory
53.93364474,-0.75682423,heavy.loser.tinny,VR-24,2 houses close together on Kilnwick Road B1246
53.94008052,-0.77534749,create.toothpick.revived,VR-24,Farm/Caravan Park on The Mile just outside Pocklington
53.94096623,-0.77547355,cabbages.recoup.active,VR-24,Farm on The Mile just outside Pocklington
53.94479465,-0.76573444,devours.reinvest.squeezed,VR-24,Hamlet set back from Woodhouse Lane
53.94407634,-0.76132222,videos.scoping.scorching,VR-24,Hamlet at the end of Woodhouse Lane
53.94685423,-0.73978603,transit.acid.somewhere,VR-24,House on edge of the territory
53.95168175,-0.75082403,airstrip.teams.proclaims,VR-24,Farm set back from Swinebridge Lane
53.95597791,-0.75031977,exacted.swooned.appeal,VR-24,Farm on Givendale Hill
53.95575064,-0.75493854,nourished.reader.villas,VR-24,Farm on Grimthorpe Lane
53.95142921,-0.75791579,again.muted.shipped,VR-24,Farm set back from Swinebridge Lane
53.95284975,-0.76292616,shorts.regaining.scars,VR-24,Farm at the end of The Mile
53.94815865,-0.77248553,windows.polished.outermost,VR-24,Hamlet set back from the road
53.9487648,-0.77713112,request.regulates.toast,VR-24,Hamlet set back from the road
53.95121456,-0.77579001,bronzer.dummy.spelling,VR-24,2 farms close together
53.95918639,-0.77628622,pacemaker.port.touched,VR-24,Farm set back from the road
53.96054516,-0.78265369,agree.clinked.underline,VR-24,Hamlet of 2 farms and 1 house east of Meltonby
53.96870065,-0.80190943,flagpole.skipped.atoms,VR-24,Farm set back from Eastfield Road
53.96506852,-0.80792294,swatting.originate.cookie,VR-24,Farm set back from Eastfield Road
53.94367696,-0.78570082,cooked.spiking.burns,VR-24,Farm set back from Yapham Road
53.94465575,-0.79883827,nosedive.peachy.fictional,VR-24,Hamlet at crossroads of Yapham Road and Keldspring Lane (8+ Houses)
53.9395927,-0.80620633,blocking.urgent.bitter,VR-24,Farm set back from Keldspring Lane
53.93942217,-0.80101087,remarks.goggle.snooping,VR-24,House on Keldspring Lane
53.94169881,-0.80273284,garlic.slug.dumps,VR-24,House/Business on Keldspring Lane
53.94533456,-0.80302788,fake.churn.pelt,VR-24,House/Business set back from Yampham Road
53.952471,-0.80010421,eradicate.reefs.dock,VR-24,Farm south of Yapham
53.95240154,-0.80866594,wacky.regret.blasted,VR-24,House on Feoffee Lane
53.95039382,-0.81007667,urge.spring.headlight,VR-24,Farm set back from Yapham Road
53.95183333,-0.81391233,fiery.joggers.tango,VR-24,House set back from Yapham Road
53.9513977,-0.81847745,funky.beeline.briskly,VR-24,Farm set back from Yapham Road
53.95817169,-0.82323045,quail.newlywed.promoting,VR-24,2 farms at crossroads
53.95764769,-0.82586966,steadier.learns.hill,VR-24,2 houses together on Bolton Lane
53.95796806,-0.82995734,stared.aunts.settled,VR-24,Farm on Bolton Lane
53.9471358,-0.82733546,shimmered.front.buckling,VR-24,Farm on Feoffee Lane
53.9479377,-0.8249483,guidebook.huddling.patting,VR-24,3 houses close together on Feoffee Lane
